
5 goal(s)
 Raphael Varane , DF , France

4 goal(s)
 Alberto Rodriguez , DF , Peru
 Wilder Cartagena , MF , Peru
 Daniel Colindres , MF , CostaRica

3 goal(s)
 Luis Alberto , MF , Spain
 Jannik Vestergaard , DF , Denmark
 Nahitan Nandez , MF , Uruguay
 Jordan Lukaku , DF , Belgium
 Ken Sema , MF , Sweden
 Marc Bartra , DF , Spain
 Adrian Zela , DF , Peru
 Ferjani Sassi , MF , Tunisia
 Timo Werner , FW , Germany
 Casemiro , MF , Brazil
 Nico Elvedi , DF , Switzerland

2 goal(s)
 Moussa Sissoko , MF , France
 Thomas Vermaelen , DF , Belgium
 Suso , MF , Spain
 Jesse Lingard , MF , England
 Lars Stindl , FW , Germany
 Niklas Süle , DF , Germany
 Ante Rebic , FW , Croatia
 Youri Tielemans , MF , Belgium
 Dedryck Boyata , DF , Belgium
 Rafal Kurzawa , MF , Poland
 Luis Neto , DF , Portugal
 Julian Draxler , MF , Germany
 Marcel Halstenberg , DF , Germany
 Olafur Skulason , MF , Iceland
 Tarek Hamed , MF , Egypt
 Leslie Heraldez , MF , Panama
 Rafal Wolski , MF , Poland
 Asier Illarramendi , MF , Spain
 Marcelo Brozovic , MF , Croatia
 Marco Urena , FW , CostaRica
 Nacer Chadli , MF , Belgium
 Marquinhos , DF , Brazil
 Matthias Ginter , DF , Germany
 Julian Brandt , MF , Germany
 Mateus Uribe , MF , Colombia
 Luka Modric , MF , Croatia
 Abel Aguilar , MF , Colombia
 Miranda , DF , Brazil
 Mousa Dembnxlnx , MF , Belgium
 Jakub Swierczok , FW , Poland
 Thomas Meunier , DF , Belgium
 Jake Livermore , MF , England
 Ashley Young , MF , England
 Mario Mandzukic , FW , Croatia
 Marvin Plattenhardt , DF , Germany
 Miguel Trauco , DF , Peru
 Rodrigo , FW , Spain
 Marcelo , DF , Brazil
 Andre Carrillo , FW , Peru
 Steven N'Zonzi , MF , France

1 goal(s)
 Ragnar Sigurosson , DF , Iceland
 Andre Silva , FW , Portugal
 Michael Lang , DF , Switzerland
 Fabian Schar , DF , Switzerland
 Steven Zuber , MF , Switzerland
 Moussa Wague , DF , Senegal
 Youssouf Sabaly , DF , Senegal
 Lamine Gassama , DF , Senegal
